FITLER,FITLER_SIZE,EDGE,DP,THRESH1,THRESH2,x,y,r,Accurancy
mean,11,canny,2.5,50,90,126,109,66,0.25
mean,11,canny,2.5,50,120,126,109,66,0.071428571
mean,11,sobel,1.5,-1,-1,154,118,68,0.071428571
mean,11,sobel,2,-1,-1,129,113,92,0.035714286
mean,11,sobel,2.5,-1,-1,144,114,80,0.035714286
mean,11,laplacian,1.5,-1,-1,136,43,70,0
mean,11,laplacian,2,-1,-1,135,43,72,0.107142857
mean,11,laplacian,2.5,-1,-1,156,109,80,0
median,3,canny,1.5,10,30,145,113,80,0.214285714
median,3,canny,1.5,10,60,154,113,92,0.25
median,3,canny,1.5,10,90,178,37,68,0.321428571
median,3,canny,1.5,10,120,115,49,58,0.5
median,3,canny,1.5,30,60,106,43,60,0.428571429
median,3,canny,1.5,30,90,178,37,68,0.428571429
median,3,canny,1.5,30,120,106,43,48,0.607142857
median,3,canny,1.5,50,60,110,43,54,0.464285714
median,3,canny,1.5,50,90,119,40,70,0.607142857
median,3,canny,1.5,50,120,-1,-1,-1,0.642857143
median,3,canny,2,10,30,149,109,84,0
median,3,canny,2,10,60,151,115,88,0.107142857
median,3,canny,2,10,90,87,49,70,0.428571429
median,3,canny,2,10,120,119,43,62,0.464285714
median,3,canny,2,30,60,105,43,58,0.392857143
median,3,canny,2,30,90,105,43,58,0.535714286
median,3,canny,2,30,120,103,41,54,0.607142857
median,3,canny,2,50,60,119,39,74,0.535714286
median,3,canny,2,50,90,119,39,74,0.642857143
median,3,canny,2,50,120,-1,-1,-1,0.714285714
median,3,canny,2.5,10,30,146,114,80,0
median,3,canny,2.5,10,60,89,41,80,0.071428571
median,3,canny,2.5,10,90,89,41,84,0.035714286
median,3,canny,2.5,10,120,109,36,64,0.178571429
median,3,canny,2.5,30,60,84,41,80,0.142857143
median,3,canny,2.5,30,90,79,46,80,0.285714286
median,3,canny,2.5,30,120,119,39,76,0.464285714
median,3,canny,2.5,50,60,119,36,74,0.25
median,3,canny,2.5,50,90,119,39,74,0.285714286
median,3,canny,2.5,50,120,141,41,64,0.535714286
median,3,sobel,1.5,-1,-1,151,109,52,0.857142857
median,3,sobel,2,-1,-1,123,45,58,0.357142857
median,3,sobel,2.5,-1,-1,124,44,74,0.071428571
median,3,laplacian,1.5,-1,-1,74,55,66,0.714285714
median,3,laplacian,2,-1,-1,87,47,74,0.535714286
median,3,laplacian,2.5,-1,-1,96,44,74,0.214285714
median,5,canny,1.5,10,30,148,110,86,0.214285714
median,5,canny,1.5,10,60,145,46,52,0.464285714
median,5,canny,1.5,10,90,145,46,52,0.5
median,5,canny,1.5,10,120,154,109,50,0.785714286
median,5,canny,1.5,30,60,145,46,52,0.5
median,5,canny,1.5,30,90,154,109,50,0.607142857
median,5,canny,1.5,30,120,154,109,50,0.785714286
median,5,canny,1.5,50,60,149,109,48,0.714285714
median,5,canny,1.5,50,90,154,110,50,0.714285714
median,5,canny,1.5,50,120,149,109,48,0.857142857
median,5,canny,2,10,30,147,105,78,0.071428571
median,5,canny,2,10,60,197,53,66,0.25
median,5,canny,2,10,90,201,45,66,0.607142857
median,5,canny,2,10,120,153,111,52,0.678571429
median,5,canny,2,30,60,93,53,62,0.357142857
median,5,canny,2,30,90,93,53,62,0.571428571
median,5,canny,2,30,120,153,111,52,0.857142857
median,5,canny,2,50,60,91,53,62,0.571428571
median,5,canny,2,50,90,153,111,52,0.75
median,5,canny,2,50,120,153,111,52,0.821428571
median,5,canny,2.5,10,30,141,116,92,0
median,5,canny,2.5,10,60,161,39,60,0.035714286
median,5,canny,2.5,10,90,201,44,66,0.25
median,5,canny,2.5,10,120,151,109,48,0.428571429
median,5,canny,2.5,30,60,141,41,64,0.214285714
median,5,canny,2.5,30,90,151,109,48,0.464285714
median,5,canny,2.5,30,120,151,109,48,0.642857143
median,5,canny,2.5,50,60,151,109,48,0.357142857
median,5,canny,2.5,50,90,79,46,86,0.5
median,5,canny,2.5,50,120,91,39,80,0.714285714
median,5,sobel,1.5,-1,-1,155,110,90,0.071428571
median,5,sobel,2,-1,-1,149,113,88,0.071428571
median,5,sobel,2.5,-1,-1,154,109,90,0
median,5,laplacian,1.5,-1,-1,151,113,86,0.428571429
median,5,laplacian,2,-1,-1,151,113,86,0.071428571
median,5,laplacian,2.5,-1,-1,156,111,90,0
median,11,canny,1.5,10,30,67,149,86,0.607142857
median,11,canny,1.5,10,60,148,110,46,0.785714286
median,11,canny,1.5,10,90,160,115,94,0.892857143
median,11,canny,1.5,10,120,151,115,56,0.892857143
median,11,canny,1.5,30,60,154,109,48,0.821428571
median,11,canny,1.5,30,90,160,115,94,0.857142857
median,11,canny,1.5,30,120,151,115,56,0.892857143
median,11,canny,1.5,50,60,154,109,44,0.857142857
median,11,canny,1.5,50,90,160,115,94,0.857142857
median,11,canny,1.5,50,120,151,115,56,0.892857143
median,11,canny,2,10,30,77,117,88,0.285714286
median,11,canny,2,10,60,131,49,46,0.75
median,11,canny,2,10,90,151,113,52,0.857142857
median,11,canny,2,10,120,149,109,48,0.892857143
median,11,canny,2,30,60,151,113,52,0.821428571
median,11,canny,2,30,90,151,113,52,0.857142857
median,11,canny,2,30,120,151,113,52,0.892857143
median,11,canny,2,50,60,151,113,52,0.857142857
median,11,canny,2,50,90,151,113,52,0.857142857
median,11,canny,2,50,120,151,113,52,0.892857143
median,11,canny,2.5,10,30,-1,-1,-1,0.071428571
median,11,canny,2.5,10,60,56,101,80,0.5
median,11,canny,2.5,10,90,141,116,92,0.571428571
median,11,canny,2.5,10,120,131,101,92,0.642857143
median,11,canny,2.5,30,60,51,116,90,0.535714286
median,11,canny,2.5,30,90,141,116,92,0.678571429
median,11,canny,2.5,30,120,151,114,52,0.75
median,11,canny,2.5,50,60,51,116,90,0.571428571
median,11,canny,2.5,50,90,-1,-1,-1,0.75
median,11,canny,2.5,50,120,141,116,92,0.75
median,11,sobel,1.5,-1,-1,151,115,66,0.142857143
median,11,sobel,2,-1,-1,147,113,72,0.035714286
median,11,sobel,2.5,-1,-1,151,106,86,0
median,11,laplacian,1.5,-1,-1,151,109,48,0.428571429
median,11,laplacian,2,-1,-1,151,109,50,0.142857143
median,11,laplacian,2.5,-1,-1,136,111,86,0.071428571
none,3,canny,1.5,10,30,145,106,68,0.178571429
none,3,canny,1.5,10,60,145,106,68,0.321428571
none,3,canny,1.5,10,90,145,106,68,0.464285714
none,3,canny,1.5,10,120,127,46,64,0.392857143
